Date,Open,High,Low,Close
2016-09-09,50.81,50.93,50.45,50.47
2016-09-12,50.37,50.74,50.34,50.64
2016-09-13,50.52,50.59,50.17,50.26
2016-09-14,50.33,50.49,50.18,50.24
2016-09-15,50.31,50.56,50.27,50.54
2016-09-16,50.47,50.56,50.36,50.55
2016-09-19,50.59,50.64,50.50,50.58
2016-09-20,50.60,50.66,50.44,50.52
2016-09-21,50.55,50.97,50.53,50.94
2016-09-22,51.11,51.27,51.02,51.11
2016-09-23,51.07,51.17,51.01,51.05
2016-09-26,50.94,51.00,50.79,50.83
2016-09-27,50.76,50.98,50.68,50.97
2016-09-28,51.06,51.33,50.88,51.31
2016-09-29,51.29,51.30,50.93,51.12
2016-09-30,51.19,51.36,51.18,51.34
2016-10-03,51.31,51.37,51.21,51.31
2016-10-04,51.38,51.42,51.16,51.22
2016-10-05,51.40,51.41,51.28,51.36
2016-10-06,51.40,51.41,51.26,51.39
2016-10-07,51.41,51.53,51.26,51.51
2016-10-10,51.54,51.71,51.51,51.66
2016-10-11,51.58,51.58,51.28,51.37
2016-10-12,51.34,51.44,51.26,51.35
2016-10-13,51.19,51.28,51.08,51.22
2016-10-14,51.37,51.41,51.26,51.34
2016-10-17,51.32,51.41,51.25,51.26
2016-10-18,51.45,51.49,51.31,51.47
2016-10-19,51.51,51.65,51.50,51.62
2016-10-20,51.62,51.66,51.52,51.63
2016-10-21,51.52,51.68,51.46,51.64
2016-10-24,51.70,51.75,51.58,51.67
2016-10-25,51.61,51.67,51.55,51.64
2016-10-26,51.51,51.63,51.41,51.43
2016-10-27,51.47,51.50,51.15,51.24
2016-10-28,51.18,51.22,50.95,50.99
2016-10-31,50.98,51.01,50.79,50.84
2016-11-01,50.87,50.87,50.45,50.64
2016-11-02,50.56,50.61,50.36,50.42
2016-11-03,50.52,50.60,50.39,50.43
2016-11-04,50.52,50.61,50.41,50.45
2016-11-07,50.91,51.19,50.87,51.16
2016-11-08,50.92,51.13,50.90,51.04
2016-11-09,50.73,51.06,50.64,50.69
2016-11-10,50.58,50.58,49.99,50.02
2016-11-11,49.86,49.99,49.42,49.55
2016-11-14,49.42,49.98,49.42,49.92
2016-11-15,50.18,50.65,50.18,50.58
2016-11-16,50.37,50.46,50.30,50.38
2016-11-17,50.37,50.52,50.24,50.24
2016-11-18,50.35,50.43,50.15,50.24
2016-11-21,50.37,50.67,50.37,50.65
2016-11-22,50.73,51.07,50.71,51.02
2016-11-23,50.64,50.87,50.63,50.83
2016-11-25,50.86,50.91,50.82,50.90
2016-11-28,50.83,51.06,50.74,50.89
2016-11-29,50.76,50.88,50.72,50.83
2016-11-30,50.88,50.94,50.72,50.85
2016-12-01,50.86,50.88,50.61,50.61
2016-12-02,50.73,50.92,50.68,50.92
2016-12-05,50.94,51.09,50.92,51.05
2016-12-06,51.12,51.32,51.08,51.30
2016-12-07,51.37,51.64,51.33,51.56
2016-12-08,51.51,51.58,51.36,51.55
2016-12-09,51.53,51.65,51.50,51.58
2016-12-12,51.67,51.69,51.45,51.51
2016-12-13,51.70,51.79,51.62,51.63
2016-12-14,51.63,51.79,51.20,51.24
2016-12-15,51.16,51.37,51.14,51.27
2016-12-16,51.41,51.44,51.30,51.31
2016-12-19,51.36,51.51,51.34,51.45
2016-12-20,51.46,51.57,51.40,51.52
2016-12-21,51.49,51.65,51.48,51.61
2016-12-22,51.62,51.72,51.56,51.72
2016-12-23,51.74,51.82,51.70,51.81
2016-12-27,51.75,51.85,51.72,51.77
2016-12-28,51.84,51.84,51.67,51.69
2016-12-29,51.74,51.78,51.68,51.77
2016-12-30,51.80,51.87,51.68,51.78
2017-01-03,51.98,52.02,51.87,52.00
2017-01-04,52.05,52.29,52.05,52.28
2017-01-05,52.21,52.30,52.17,52.20
2017-01-06,52.15,52.22,52.08,52.19
2017-01-09,52.18,52.22,52.08,52.18
2017-01-10,52.24,52.31,52.16,52.18
2017-01-11,52.20,52.24,52.12,52.21
2017-01-12,52.20,52.23,52.13,52.23
2017-01-13,52.21,52.29,52.11,52.24
2017-01-17,52.21,52.23,52.14,52.19
