Date,Open,High,Low,Close
2016-09-12,87.70,87.94,87.67,87.87
2016-09-13,87.94,87.94,87.35,87.55
2016-09-14,87.56,87.86,87.56,87.75
2016-09-15,87.70,87.83,87.53,87.77
2016-09-16,87.87,87.93,87.75,87.86
2016-09-19,87.79,87.86,87.71,87.71
2016-09-20,87.82,87.97,87.79,87.85
2016-09-21,87.75,88.03,87.66,87.99
2016-09-22,88.14,88.35,88.12,88.25
2016-09-23,88.21,88.35,88.19,88.29
2016-09-26,88.41,88.62,88.39,88.54
2016-09-27,88.80,88.80,88.61,88.69
2016-09-28,88.73,88.82,88.62,88.66
2016-09-29,88.50,88.84,88.44,88.71
2016-09-30,88.72,88.74,88.36,88.49
2016-10-03,88.47,88.49,88.27,88.28
2016-10-04,88.17,88.25,87.87,87.88
2016-10-05,87.84,87.87,87.59,87.68
2016-10-06,87.59,87.73,87.48,87.50
2016-10-07,87.58,87.69,87.42,87.63
2016-10-10,87.44,87.44,87.26,87.40
2016-10-11,87.38,87.52,87.28,87.37
2016-10-12,87.30,87.37,87.20,87.37
2016-10-13,87.52,87.67,87.52,87.55
2016-10-14,87.33,87.57,87.26,87.29
2016-10-17,87.37,87.55,87.37,87.48
2016-10-18,87.36,87.65,87.36,87.65
2016-10-19,87.52,87.75,87.52,87.69
2016-10-20,87.82,87.82,87.58,87.61
2016-10-21,87.74,87.74,87.59,87.71
2016-10-24,87.76,87.76,87.48,87.59
2016-10-25,87.48,87.70,87.46,87.57
2016-10-26,87.44,87.48,87.35,87.38
2016-10-27,87.08,87.12,86.90,87.08
2016-10-28,87.00,87.17,86.96,87.10
2016-10-31,87.20,87.23,87.09,87.17
2016-11-01,86.92,87.34,86.87,87.17
2016-11-02,87.33,87.58,87.26,87.43
2016-11-03,87.30,87.42,87.25,87.38
2016-11-04,87.48,87.69,87.46,87.65
2016-11-07,87.32,87.38,87.25,87.28
2016-11-08,87.30,87.33,86.93,86.97
2016-11-09,86.57,86.57,85.58,85.65
2016-11-10,85.39,85.68,85.12,85.13
2016-11-11,85.30,85.37,84.93,84.96
2016-11-14,84.47,84.78,84.29,84.47
2016-11-15,84.46,84.62,84.40,84.47
2016-11-16,84.28,84.60,84.28,84.54
2016-11-17,84.40,84.45,84.11,84.17
2016-11-18,84.15,84.24,83.72,83.80
2016-11-21,83.86,83.98,83.78,83.87
2016-11-22,83.98,84.13,83.87,83.95
2016-11-23,83.47,83.74,83.28,83.65
2016-11-25,83.68,83.72,83.47,83.58
2016-11-28,83.85,83.99,83.77,83.96
2016-11-29,83.81,84.07,83.76,84.04
2016-11-30,83.51,83.70,83.41,83.48
2016-12-01,83.09,83.24,82.85,83.16
2016-12-02,83.34,83.65,83.34,83.54
2016-12-05,83.26,83.71,83.16,83.50
2016-12-06,83.53,83.62,83.46,83.54
2016-12-07,83.69,83.85,83.68,83.81
2016-12-08,83.54,83.60,83.42,83.50
2016-12-09,83.46,83.55,83.03,83.07
2016-12-12,83.01,83.17,82.89,83.08
2016-12-13,83.23,83.28,82.98,83.13
2016-12-14,83.41,83.47,82.42,82.44
2016-12-15,82.42,82.46,82.15,82.21
2016-12-16,82.35,82.57,82.17,82.31
2016-12-19,82.60,82.73,82.50,82.69
2016-12-20,82.40,82.57,82.35,82.52
2016-12-21,82.60,82.70,82.55,82.65
2016-12-22,82.56,82.69,82.50,82.62
2016-12-23,82.71,82.79,82.68,82.70
2016-12-27,82.50,82.58,82.49,82.58
2016-12-28,82.62,82.97,82.56,82.88
2016-12-29,83.02,83.26,83.02,83.14
2016-12-30,83.18,83.49,83.15,83.38
2017-01-03,83.01,83.44,82.96,83.34
2017-01-04,83.31,83.48,83.22,83.44
2017-01-05,83.61,84.07,83.55,83.98
2017-01-06,83.67,83.83,83.56,83.60
2017-01-09,83.90,83.95,83.81,83.92
2017-01-10,83.88,84.00,83.84,83.88
2017-01-11,83.92,84.27,83.77,83.97
2017-01-12,84.18,84.35,84.00,84.02
2017-01-13,83.82,83.97,83.57,83.84
2017-01-17,84.30,84.35,84.11,84.26
2017-01-18,84.00,84.07,83.63,83.66
2017-01-19,83.39,83.44,83.18,83.34
2017-01-20,83.24,83.46,83.11,83.38
2017-01-23,83.53,83.98,83.40,83.82
2017-01-24,83.64,83.75,83.39,83.50
2017-01-25,83.17,83.27,82.98,83.09
2017-01-26,83.06,83.22,82.87,83.20
2017-01-27,83.25,83.37,83.24,83.30
2017-01-30,83.32,83.49,83.28,83.28
2017-01-31,83.36,83.70,83.36,83.57
2017-02-01,83.30,83.53,83.17,83.41
2017-02-02,83.68,83.73,83.43,83.44
2017-02-03,83.65,83.83,83.35,83.50
2017-02-06,83.84,83.98,83.65,83.90
2017-02-07,83.85,84.20,83.80,84.05
2017-02-08,84.05,84.45,84.05,84.39
2017-02-09,84.39,84.39,83.88,83.89
2017-02-10,83.71,83.90,83.71,83.84
2017-02-13,83.65,83.72,83.56,83.71
2017-02-14,83.67,83.73,83.22,83.41
2017-02-15,83.12,83.30,83.11,83.25
2017-02-16,83.33,83.66,83.33,83.58
2017-02-17,83.81,83.91,83.75,83.80
