Date,Open,High,Low,Close
2016-09-26,69.93,70.04,69.64,69.68
2016-09-27,69.62,70.04,69.48,69.99
2016-09-28,70.13,70.55,69.71,70.48
2016-09-29,70.40,70.63,69.68,69.89
2016-09-30,70.14,70.71,70.02,70.47
2016-10-03,70.25,70.35,69.99,70.17
2016-10-04,70.27,70.31,69.51,69.74
2016-10-05,69.98,70.31,69.84,70.15
2016-10-06,70.03,70.25,69.80,70.19
2016-10-07,70.25,70.38,69.55,69.81
2016-10-10,70.09,70.42,70.09,70.12
2016-10-11,69.91,69.91,68.80,69.07
2016-10-12,69.09,69.36,68.91,69.17
2016-10-13,68.69,69.12,68.24,68.91
2016-10-14,69.28,69.50,68.86,68.86
2016-10-17,68.88,69.00,68.58,68.63
2016-10-18,69.24,69.29,68.92,69.10
2016-10-19,69.23,69.55,69.02,69.44
2016-10-20,69.28,69.52,69.03,69.30
2016-10-21,68.95,69.34,68.80,69.26
2016-10-24,69.59,69.77,69.35,69.48
2016-10-25,69.35,69.37,69.02,69.08
2016-10-26,68.83,69.22,68.76,69.05
2016-10-27,69.25,69.29,68.60,68.64
2016-10-28,68.63,69.12,68.38,68.64
2016-10-31,68.83,68.94,68.66,68.75
2016-11-01,68.91,68.91,67.72,68.18
2016-11-02,68.06,68.23,67.54,67.69
2016-11-03,67.82,67.94,67.35,67.47
2016-11-04,67.52,68.00,67.39,67.48
2016-11-07,68.59,68.96,68.38,68.94
2016-11-08,68.86,69.41,68.61,69.20
2016-11-09,68.63,70.28,68.18,70.02
2016-11-10,70.42,70.95,70.00,70.53
2016-11-11,70.36,70.59,70.03,70.53
2016-11-14,70.80,71.20,70.71,71.12
2016-11-15,71.29,71.65,71.10,71.65
2016-11-16,71.48,71.49,71.16,71.33
2016-11-17,71.43,71.75,71.33,71.71
2016-11-18,71.77,71.77,71.48,71.54
2016-11-21,71.81,72.13,71.75,72.11
2016-11-22,72.29,72.38,71.99,72.33
2016-11-23,72.21,72.53,72.10,72.51
2016-11-25,72.66,72.77,72.54,72.77
2016-11-28,72.65,72.70,72.24,72.28
2016-11-29,72.32,72.51,72.11,72.33
2016-11-30,72.66,72.72,72.34,72.35
2016-12-01,72.54,72.63,71.97,72.13
2016-12-02,72.13,72.38,72.02,72.14
2016-12-05,72.48,72.83,72.48,72.68
2016-12-06,72.82,73.06,72.56,73.05
2016-12-07,73.08,74.13,73.04,74.10
2016-12-08,74.14,74.63,73.98,74.40
2016-12-09,74.51,74.61,74.32,74.61
2016-12-12,74.60,74.67,74.08,74.22
2016-12-13,74.50,74.71,74.25,74.54
2016-12-14,74.44,74.64,73.58,73.76
2016-12-15,73.76,74.37,73.63,74.02
2016-12-16,74.15,74.22,73.66,73.82
2016-12-19,73.91,74.14,73.74,73.93
2016-12-20,74.10,74.29,74.03,74.17
2016-12-21,74.17,74.22,73.99,74.00
2016-12-22,73.93,73.93,73.54,73.71
2016-12-23,73.69,73.86,73.69,73.86
2016-12-27,73.88,74.22,73.88,74.10
2016-12-28,74.21,74.21,73.31,73.34
2016-12-29,73.37,73.56,73.21,73.37
2016-12-30,73.59,73.59,72.92,73.16
2017-01-03,73.69,74.03,73.29,73.74
2017-01-04,73.89,74.55,73.89,74.46
2017-01-05,74.38,74.39,73.94,74.26
2017-01-06,74.37,74.64,74.07,74.46
2017-01-09,74.43,74.43,74.03,74.05
2017-01-10,74.13,74.44,74.01,74.12
2017-01-11,74.11,74.35,73.88,74.32
2017-01-12,74.21,74.26,73.60,74.20
2017-01-13,74.20,74.46,74.20,74.35
