Date,Open,High,Low,Close
2016-09-19,182.87,183.51,181.93,182.25
2016-09-20,183.11,183.26,182.23,182.26
2016-09-21,182.96,184.49,182.28,184.31
2016-09-22,185.32,185.77,185.07,185.47
2016-09-23,185.08,185.21,184.36,184.45
2016-09-26,183.63,183.81,182.76,182.96
2016-09-27,182.80,184.19,182.43,184.10
2016-09-28,184.32,185.16,183.36,185.01
2016-09-29,184.80,185.21,182.79,183.34
2016-09-30,184.16,185.42,183.92,184.72
2016-10-03,184.31,184.50,183.64,184.28
2016-10-04,184.39,184.61,182.75,183.34
2016-10-05,183.96,184.57,183.89,184.15
2016-10-06,183.92,184.50,183.39,184.28
2016-10-07,184.55,184.72,182.92,183.64
2016-10-10,184.60,185.06,184.45,184.60
2016-10-11,184.17,184.24,181.54,182.27
2016-10-12,182.40,183.03,181.91,182.51
2016-10-13,181.18,182.40,180.37,181.91
2016-10-14,182.88,183.34,181.93,182.00
2016-10-17,181.98,182.23,181.19,181.37
2016-10-18,182.96,183.02,182.13,182.51
2016-10-19,182.77,183.30,182.41,182.99
2016-10-20,182.64,183.21,181.99,182.65
2016-10-21,182.65,182.82,181.70,182.74
2016-10-24,183.61,183.88,183.16,183.52
2016-10-25,183.34,183.59,182.74,182.90
2016-10-26,182.08,183.11,181.84,182.53
2016-10-27,183.25,183.28,181.97,182.05
2016-10-28,182.02,182.70,180.80,181.51
2016-10-31,181.84,182.06,181.35,181.52
2016-11-01,181.84,181.89,179.00,180.20
2016-11-02,179.89,180.28,178.68,179.12
2016-11-03,179.33,179.54,178.02,178.30
2016-11-04,178.41,179.25,177.96,178.10
2016-11-07,178.10,182.06,178.10,182.03
2016-11-08,181.64,183.41,181.37,182.85
2016-11-09,181.36,185.40,181.34,184.79
2016-11-10,185.57,186.44,183.80,185.25
2016-11-11,184.53,185.06,183.88,184.82
2016-11-14,185.34,185.55,184.22,184.97
2016-11-15,185.35,186.41,185.15,186.41
2016-11-16,185.80,186.29,185.68,186.06
2016-11-17,186.21,187.08,186.10,187.02
2016-11-18,187.08,187.26,186.42,186.60
2016-11-21,187.17,188.03,187.02,188.01
2016-11-22,188.31,188.55,187.65,188.37
2016-11-23,187.86,188.53,187.67,188.48
2016-11-25,188.82,189.21,188.74,189.18
2016-11-28,188.87,189.14,188.19,188.29
2016-11-29,188.32,189.11,188.02,188.66
2016-11-30,189.27,189.43,188.14,188.20
2016-12-01,188.50,188.50,187.15,187.51
2016-12-02,187.60,188.09,187.25,187.61
2016-12-05,188.43,189.07,188.24,188.73
2016-12-06,188.92,189.36,188.44,189.33
2016-12-07,189.18,191.87,189.06,191.81
2016-12-08,191.78,192.75,191.52,192.28
2016-12-09,192.50,193.46,192.46,193.44
2016-12-12,193.34,193.82,192.80,193.22
2016-12-13,193.87,195.00,193.86,194.51
