Date,Open,High,Low,Close
2016-09-06,41.92,42.02,41.72,42.01
2016-09-07,41.93,42.01,41.55,41.64
2016-09-08,41.48,41.60,41.33,41.41
2016-09-09,41.05,41.13,40.29,40.29
2016-09-12,40.24,41.10,40.24,41.04
2016-09-13,40.83,40.87,40.45,40.54
2016-09-14,40.56,40.71,40.30,40.42
2016-09-15,40.32,40.79,40.29,40.74
2016-09-16,40.70,40.74,40.37,40.61
2016-09-19,40.62,40.77,40.53,40.53
2016-09-20,40.72,40.79,40.63,40.64
2016-09-21,40.64,40.96,40.43,40.86
2016-09-22,41.00,41.30,41.00,41.22
2016-09-23,41.23,41.24,41.02,41.04
2016-09-26,40.93,40.94,40.65,40.69
2016-09-27,40.69,40.97,40.67,40.86
2016-09-28,40.94,41.02,40.74,40.93
2016-09-29,40.90,40.93,40.50,40.53
2016-09-30,40.72,41.07,40.72,40.94
2016-10-03,40.87,40.90,40.60,40.67
2016-10-04,40.64,40.67,40.25,40.33
2016-10-05,40.40,40.47,40.19,40.29
2016-10-06,40.14,40.47,40.07,40.37
2016-10-07,40.38,40.47,39.97,40.26
2016-10-10,40.35,40.50,40.18,40.26
2016-10-11,40.23,40.26,39.90,40.05
2016-10-12,40.12,40.37,40.04,40.27
2016-10-13,40.00,40.40,39.95,40.28
2016-10-14,40.30,40.48,40.23,40.29
2016-10-17,40.30,40.36,40.07,40.10
2016-10-18,40.28,40.45,40.21,40.22
2016-10-19,40.14,40.21,39.93,39.99
2016-10-20,39.97,40.10,39.87,39.97
2016-10-21,40.10,40.24,40.01,40.18
2016-10-24,40.23,40.54,40.23,40.44
2016-10-25,40.61,40.69,40.56,40.59
2016-10-26,40.62,40.70,40.47,40.54
2016-10-27,40.52,40.68,40.30,40.35
2016-10-28,40.32,40.66,40.25,40.52
2016-10-31,40.55,40.72,40.52,40.62
2016-11-01,40.62,40.69,40.31,40.44
2016-11-02,40.34,40.57,40.31,40.34
2016-11-03,40.47,40.47,40.01,40.07
2016-11-04,40.00,40.07,39.67,39.70
2016-11-07,40.04,40.40,40.02,40.37
2016-11-08,40.08,40.67,40.04,40.54
2016-11-09,39.71,40.12,39.44,39.99
2016-11-10,40.00,40.00,38.84,38.92
2016-11-11,38.81,39.01,38.63,38.88
2016-11-14,38.88,38.91,38.67,38.81
2016-11-15,38.89,39.11,38.83,39.05
2016-11-16,39.06,39.23,39.00,39.06
2016-11-17,39.03,39.07,38.81,38.99
2016-11-18,38.99,39.02,38.80,38.85
2016-11-21,38.85,39.13,38.73,39.11
2016-11-22,39.23,39.39,39.20,39.31
2016-11-23,39.16,39.29,39.04,39.10
2016-11-25,39.18,39.41,39.18,39.40
2016-11-28,39.40,39.56,39.30,39.49
2016-11-29,39.50,39.59,39.40,39.54
2016-11-30,39.34,39.46,38.90,38.91
2016-12-01,38.77,38.80,38.45,38.66
2016-12-02,38.76,38.94,38.74,38.90
2016-12-05,38.91,39.01,38.84,38.95
2016-12-06,38.94,39.07,38.91,39.07
2016-12-07,39.05,39.66,39.04,39.63
2016-12-08,39.47,39.66,39.40,39.47
2016-12-09,39.49,40.04,39.49,40.04
2016-12-12,39.94,40.24,39.94,40.20
2016-12-13,40.27,40.47,40.18,40.38
2016-12-14,40.40,40.54,39.84,39.94
2016-12-15,39.94,40.24,39.82,40.11
2016-12-16,40.24,40.36,40.16,40.34
2016-12-19,40.39,40.48,40.28,40.42
2016-12-20,40.43,40.43,40.16,40.34
2016-12-21,40.30,40.53,40.30,40.33
2016-12-22,40.29,40.36,40.20,40.27
2016-12-23,40.25,40.38,40.25,40.35
2016-12-27,40.32,40.42,40.27,40.34
2016-12-28,40.31,40.33,40.09,40.09
2016-12-29,40.12,40.33,40.09,40.28
2016-12-30,40.29,40.36,39.99,40.08
2017-01-03,40.11,40.28,39.99,40.23
2017-01-04,40.28,40.42,40.22,40.23
2017-01-05,40.22,40.41,40.07,40.36
2017-01-06,40.28,40.42,40.13,40.40
2017-01-09,40.24,40.27,40.03,40.07
2017-01-10,40.03,40.09,39.81,39.87
2017-01-11,39.80,40.01,39.80,39.95
