Date,Open,High,Low,Close
2016-09-26,35.86,35.86,35.52,35.56
2016-09-27,35.61,35.92,35.55,35.92
2016-09-28,35.95,36.04,35.81,36.02
2016-09-29,35.98,36.19,35.73,35.84
2016-09-30,35.99,36.23,35.93,36.13
2016-10-03,35.99,36.18,35.95,36.10
2016-10-04,36.13,36.25,35.90,35.98
2016-10-05,36.11,36.27,36.07,36.13
2016-10-06,36.08,36.23,35.93,36.15
2016-10-07,36.26,36.29,35.90,35.99
2016-10-10,36.16,36.21,36.03,36.05
2016-10-11,36.08,36.08,35.54,35.61
2016-10-12,35.65,35.91,35.60,35.78
2016-10-13,35.53,35.74,35.29,35.65
2016-10-14,35.76,35.88,35.59,35.61
2016-10-17,35.59,35.60,35.30,35.31
2016-10-18,35.68,35.75,35.50,35.55
2016-10-19,35.61,35.75,35.52,35.71
2016-10-20,35.62,35.72,35.49,35.64
2016-10-21,35.47,35.98,35.47,35.92
2016-10-24,36.10,36.20,36.03,36.18
2016-10-25,36.02,36.02,35.74,35.76
2016-10-26,35.60,35.75,35.53,35.60
2016-10-27,35.69,35.75,35.24,35.30
2016-10-28,35.11,35.46,35.09,35.22
2016-10-31,35.27,35.34,35.18,35.25
2016-11-01,35.34,35.40,34.72,35.00
2016-11-02,34.91,35.07,34.70,34.79
2016-11-03,34.85,35.02,34.62,34.70
2016-11-04,34.67,34.93,34.58,34.63
2016-11-07,35.13,35.44,35.02,35.43
2016-11-08,35.43,35.72,35.34,35.58
2016-11-09,34.83,35.71,34.74,35.65
2016-11-10,35.79,36.18,35.51,35.78
2016-11-11,35.64,36.03,35.62,35.98
2016-11-14,36.15,36.26,35.94,35.99
2016-11-15,36.11,36.18,35.94,36.13
2016-11-16,36.05,36.32,36.00,36.32
2016-11-17,36.36,36.76,36.28,36.76
2016-11-18,36.74,36.82,36.60,36.65
2016-11-21,36.72,36.89,36.67,36.89
2016-11-22,37.00,37.36,36.97,37.33
2016-11-23,37.26,37.39,37.24,37.36
2016-11-25,37.42,37.49,37.36,37.45
2016-11-28,37.36,37.37,37.08,37.15
2016-11-29,37.20,37.31,37.15,37.25
2016-11-30,37.24,37.25,36.93,36.94
2016-12-01,36.91,37.15,36.84,36.96
2016-12-02,36.97,37.06,36.71,36.76
2016-12-05,36.91,37.22,36.75,37.16
2016-12-06,37.19,37.25,37.08,37.25
2016-12-07,37.26,37.99,37.22,37.97
2016-12-08,37.98,38.07,37.88,37.97
2016-12-09,38.06,38.06,37.86,38.05
2016-12-12,37.98,38.04,37.66,37.74
2016-12-13,37.88,38.22,37.76,38.08
2016-12-14,38.07,38.14,37.75,37.82
2016-12-15,37.88,37.99,37.71,37.73
2016-12-16,37.84,37.86,37.49,37.54
2016-12-19,37.63,37.84,37.54,37.64
2016-12-20,37.70,37.99,37.69,37.94
2016-12-21,37.94,37.97,37.84,37.92
2016-12-22,37.86,37.87,37.46,37.52
2016-12-23,37.51,37.58,37.39,37.43
2016-12-27,37.46,37.73,37.46,37.58
2016-12-28,37.66,37.70,37.31,37.32
2016-12-29,37.35,37.45,37.18,37.27
2016-12-30,37.39,37.39,36.84,36.96
2017-01-03,37.25,37.38,36.95,37.18
2017-01-04,37.34,37.71,37.30,37.67
2017-01-05,37.44,37.66,37.43,37.64
2017-01-06,37.63,37.94,37.49,37.83
2017-01-09,37.82,37.90,37.73,37.80
2017-01-10,37.79,38.07,37.73,37.93
2017-01-11,37.91,38.02,37.78,38.02
2017-01-12,37.93,38.02,37.67,37.98
2017-01-13,38.00,38.16,38.00,38.12
2017-01-17,38.01,38.31,38.01,38.18
2017-01-18,38.20,38.20,37.98,38.11
2017-01-19,38.17,38.30,37.91,38.00
2017-01-20,38.13,38.21,37.98,38.11
2017-01-23,37.93,38.15,37.90,38.13
2017-01-24,38.19,38.49,38.12,38.45
2017-01-25,38.60,38.72,38.57,38.68
2017-01-26,38.71,38.88,38.62,38.74
2017-01-27,38.77,38.82,38.48,38.62
2017-01-30,38.56,38.61,38.22,38.57
2017-01-31,38.40,38.51,38.24,38.51
2017-02-01,38.58,38.65,38.30,38.44
2017-02-02,38.38,38.58,38.34,38.41
2017-02-03,38.29,38.42,38.22,38.36
2017-02-06,38.25,38.34,38.18,38.25
2017-02-07,38.26,38.32,38.17,38.21
2017-02-08,38.21,38.49,38.21,38.45
2017-02-09,38.45,38.78,38.45,38.69
2017-02-10,38.74,38.94,38.72,38.92
2017-02-13,39.01,39.07,38.91,38.97
2017-02-14,38.95,39.19,38.94,39.19
2017-02-15,39.13,39.41,39.06,39.40
2017-02-16,39.35,39.40,39.12,39.20
2017-02-17,39.10,39.32,39.10,39.32
2017-02-21,39.50,39.64,39.40,39.55
2017-02-22,39.51,39.60,39.47,39.55
2017-02-23,39.60,39.65,39.25,39.28
2017-02-24,39.21,39.46,39.13,39.46
2017-02-27,39.48,39.54,39.35,39.51
2017-02-28,39.40,39.41,39.18,39.21
2017-03-01,39.64,39.76,39.51,39.65
2017-03-02,39.64,39.69,39.53,39.56
2017-03-03,39.52,39.60,39.35,39.50
2017-03-06,39.37,39.41,39.22,39.37
2017-03-07,39.37,39.38,39.20,39.25
2017-03-08,39.30,39.48,39.29,39.41
2017-03-09,39.37,39.49,39.26,39.37
2017-03-10,39.55,39.58,39.35,39.43
2017-03-13,39.45,39.55,39.41,39.54
2017-03-14,39.50,39.59,39.40,39.53
2017-03-15,39.60,39.81,39.48,39.74
2017-03-16,39.76,39.84,39.69,39.73
2017-03-17,39.78,39.86,39.66,39.78
2017-03-20,39.81,39.82,39.61,39.69
2017-03-21,39.78,39.84,39.16,39.19
2017-03-22,39.15,39.29,39.00,39.23
2017-03-23,39.30,39.53,39.21,39.32
2017-03-24,39.36,39.55,39.25,39.42
2017-03-27,39.18,39.47,39.03,39.40
2017-03-28,39.40,39.79,39.33,39.70
2017-03-29,39.70,39.97,39.66,39.94
2017-03-30,39.87,40.05,39.83,40.05
2017-03-31,39.98,40.15,39.97,40.05
2017-04-03,40.06,40.08,39.66,39.89
2017-04-04,39.78,39.89,39.74,39.83
2017-04-05,39.98,40.19,39.68,39.73
2017-04-06,39.75,39.98,39.74,39.85
2017-04-07,39.75,39.87,39.68,39.74
2017-04-10,39.75,40.02,39.74,39.88
2017-04-11,39.87,39.93,39.56,39.85
2017-04-12,39.82,39.87,39.66,39.69
2017-04-13,39.63,39.77,39.41,39.41
2017-04-17,39.51,39.82,39.51,39.82
2017-04-18,39.72,39.89,39.62,39.82
2017-04-19,39.95,40.11,39.83,39.86
2017-04-20,40.03,40.36,40.01,40.28
2017-04-21,40.22,40.26,40.09,40.19
2017-04-24,40.61,40.62,40.40,40.45
2017-04-25,40.58,40.82,40.58,40.77
2017-04-26,40.87,41.13,40.82,40.96
2017-04-27,41.17,41.23,41.06,41.18
2017-04-28,41.26,41.34,40.96,41.01
2017-05-01,41.10,41.22,41.02,41.07
2017-05-02,41.09,41.11,40.87,41.11
2017-05-03,41.08,41.19,40.75,40.87
2017-05-04,40.90,40.90,40.65,40.81
2017-05-05,40.97,41.06,40.77,41.06
2017-05-08,41.21,41.22,40.99,41.14
2017-05-09,41.23,41.41,41.15,41.38
2017-05-10,41.21,41.25,41.08,41.23
2017-05-11,41.16,41.16,40.74,40.99
2017-05-12,41.03,41.03,40.88,40.93
2017-05-15,40.94,41.11,40.89,40.94
2017-05-16,40.96,40.99,40.77,40.80
2017-05-17,40.55,40.65,40.13,40.14
2017-05-18,40.14,40.56,40.14,40.37
2017-05-19,40.44,40.77,40.39,40.64
2017-05-22,40.72,40.89,40.70,40.85
2017-05-23,40.88,40.97,40.63,40.69
2017-05-24,40.68,40.85,40.53,40.84
2017-05-25,40.97,41.33,40.97,41.20
2017-05-26,41.25,41.34,41.21,41.32
2017-05-30,41.32,41.45,41.32,41.35
2017-05-31,41.43,41.48,41.13,41.46
2017-06-01,41.57,41.85,41.44,41.85
2017-06-02,41.88,42.05,41.82,42.00
2017-06-05,42.05,42.09,41.81,41.89
2017-06-06,41.74,41.83,41.50,41.53
2017-06-07,41.59,41.68,41.51,41.60
2017-06-08,41.61,41.65,41.28,41.33
2017-06-09,41.38,41.43,40.78,41.15
2017-06-12,41.02,41.24,40.96,41.13
2017-06-13,41.23,41.44,41.21,41.38
2017-06-14,41.54,41.60,41.15,41.36
2017-06-15,41.06,41.22,40.86,41.19
2017-06-16,41.34,41.34,40.94,41.18
2017-06-19,41.35,41.56,41.25,41.49
2017-06-20,41.42,41.43,40.96,40.97
2017-06-21,41.08,41.10,40.89,41.04
2017-06-22,41.03,41.10,40.93,40.94
2017-06-23,40.94,40.94,40.76,40.89
2017-06-26,41.09,41.16,40.91,41.04
2017-06-27,40.95,41.10,40.71,40.71
2017-06-28,40.83,41.17,40.80,41.12
2017-06-29,41.05,41.09,40.41,40.73
2017-06-30,40.93,41.12,40.85,40.94
2017-07-03,41.05,41.26,40.88,40.90
2017-07-05,40.89,40.90,40.61,40.80
2017-07-06,40.55,40.67,40.36,40.38
2017-07-07,40.47,40.78,40.47,40.74
2017-07-10,40.78,40.89,40.66,40.83
2017-07-11,40.78,40.81,40.52,40.75
2017-07-12,40.98,41.12,40.95,41.06
2017-07-13,41.18,41.22,41.03,41.06
2017-07-14,41.19,41.25,41.01,41.20
2017-07-17,41.20,41.36,41.20,41.30
2017-07-18,41.26,41.49,41.23,41.48
2017-07-19,41.56,41.73,41.53,41.68
2017-07-20,41.73,41.76,41.46,41.60
2017-07-21,41.40,41.63,41.40,41.63
2017-07-24,41.64,41.64,41.44,41.48
2017-07-25,41.64,41.89,41.57,41.78
2017-07-26,41.84,41.85,41.71,41.76
2017-07-27,41.94,42.27,41.71,42.06
2017-07-28,41.65,41.79,41.58,41.74
2017-07-31,41.89,41.95,41.59,41.73
2017-08-01,41.85,41.89,41.67,41.80
2017-08-02,41.79,41.80,41.44,41.69
2017-08-03,41.65,41.79,41.56,41.57
2017-08-04,41.67,41.67,41.41,41.58
2017-08-07,41.65,41.73,41.60,41.68
2017-08-08,41.68,41.92,41.57,41.70
2017-08-09,41.20,41.48,41.13,41.46
2017-08-10,41.28,41.35,40.83,40.83
2017-08-11,40.73,41.13,40.73,41.05
2017-08-14,41.27,41.47,41.26,41.34
2017-08-15,41.32,41.36,40.95,40.96
2017-08-16,41.11,41.25,40.99,41.17
2017-08-17,41.06,41.11,40.51,40.51
2017-08-18,40.42,40.53,40.26,40.31
2017-08-21,40.30,40.44,40.15,40.38
2017-08-22,40.50,40.86,40.48,40.82
2017-08-23,40.54,40.62,40.40,40.47
2017-08-24,40.67,40.77,40.32,40.38
2017-08-25,40.50,40.66,40.41,40.48
2017-08-28,40.62,40.64,40.45,40.51
2017-08-29,40.25,40.52,40.18,40.47
2017-08-30,40.49,40.81,40.45,40.76
2017-08-31,40.88,40.99,40.82,40.95
2017-09-01,41.06,41.21,41.04,41.14
2017-09-05,41.03,41.20,40.73,40.97
2017-09-06,41.04,41.28,40.95,41.23
2017-09-07,41.31,41.37,40.78,40.87
2017-09-08,40.79,40.83,40.66,40.73
2017-09-11,40.88,40.99,40.84,40.94
2017-09-12,41.05,41.19,40.99,41.13
2017-09-13,41.10,41.42,41.10,41.42
2017-09-14,41.32,41.43,41.19,41.20
2017-09-15,41.12,41.24,41.06,41.08
2017-09-18,41.21,41.25,40.85,40.94
2017-09-19,40.95,41.02,40.75,40.91
2017-09-20,40.97,41.08,40.82,41.04
2017-09-21,41.03,41.08,40.91,40.97
2017-09-22,40.87,41.07,40.86,41.04
2017-09-25,41.03,41.12,40.82,40.96
2017-09-26,41.08,41.16,40.87,40.96
2017-09-27,41.07,41.26,40.89,41.19
2017-09-28,41.13,41.17,41.06,41.14
2017-09-29,41.14,41.34,41.12,41.29
2017-10-02,41.34,41.46,41.28,41.37
2017-10-03,41.44,41.55,41.41,41.54
2017-10-04,41.58,41.79,41.53,41.76
2017-10-05,41.82,42.01,41.77,41.99
2017-10-06,41.92,42.10,41.92,42.04
2017-10-09,42.12,42.12,41.87,41.91
2017-10-10,41.94,42.07,41.77,41.87
2017-10-11,41.89,41.94,41.79,41.89
2017-10-12,41.74,41.74,41.52,41.61
2017-10-13,41.69,41.85,41.64,41.81
2017-10-16,41.83,41.89,41.74,41.87
2017-10-17,41.86,41.96,41.79,41.89
2017-10-18,41.93,41.95,41.77,41.78
2017-10-19,41.60,41.78,41.50,41.78
2017-10-20,41.94,41.98,41.83,41.88
2017-10-23,41.92,41.96,41.56,41.59
2017-10-24,41.64,41.76,41.64,41.69
2017-10-25,41.61,41.68,41.31,41.53
2017-10-26,41.53,41.83,41.50,41.68
2017-10-27,41.99,42.38,41.80,42.35
2017-10-30,41.99,42.26,41.99,42.16
2017-10-31,42.21,42.25,42.13,42.17
2017-11-01,42.30,42.44,42.16,42.18
2017-11-02,42.07,42.12,41.71,41.86
2017-11-03,41.84,42.05,41.74,42.03
2017-11-06,41.95,42.36,41.95,42.34
2017-11-07,42.29,42.42,42.03,42.09
2017-11-08,42.02,42.16,41.98,42.13
2017-11-09,41.90,42.26,41.80,42.20
2017-11-10,42.18,42.40,42.15,42.34
2017-11-13,42.21,42.57,42.13,42.48
2017-11-14,42.35,42.53,42.23,42.52
2017-11-15,42.31,42.48,42.09,42.34
2017-11-16,42.41,42.73,42.37,42.69
2017-11-17,42.79,42.95,42.75,42.88
2017-11-20,42.95,43.05,42.86,42.96
2017-11-21,43.07,43.25,43.01,43.23
2017-11-22,43.24,43.35,43.22,43.27
2017-11-24,43.37,43.40,43.31,43.38
2017-11-27,43.49,43.59,43.33,43.41
2017-11-28,43.48,43.89,43.42,43.89
2017-11-29,43.93,44.20,43.86,44.08
